word,pair,type,freq,file,register
add,add/subtract,add,3836,w_mag_1997.txt,magazine
subtract,add/subtract,subtract,33,w_mag_1997.txt,magazine
addition,addition/subtraction,add,781,w_mag_1997.txt,magazine
subtraction,addition/subtraction,subtract,2,w_mag_1997.txt,magazine
plus,plus/minus,add,460,w_mag_1997.txt,magazine
minus,plus/minus,subtract,65,w_mag_1997.txt,magazine
more,more/less,add,11174,w_mag_1997.txt,magazine
less,more/less,subtract,4870,w_mag_1997.txt,magazine
most,most/least,add,7238,w_mag_1997.txt,magazine
least,most/least,subtract,1390,w_mag_1997.txt,magazine
many,many/few,add,4173,w_mag_1997.txt,magazine
few,many/few,subtract,2706,w_mag_1997.txt,magazine
increase,increase/decrease,add,1058,w_mag_1997.txt,magazine
decrease,increase/decrease,subtract,113,w_mag_1997.txt,magazine
add,add/subtract,add,3978,w_mag_1998.txt,magazine
subtract,add/subtract,subtract,21,w_mag_1998.txt,magazine
addition,addition/subtraction,add,722,w_mag_1998.txt,magazine
subtraction,addition/subtraction,subtract,2,w_mag_1998.txt,magazine
plus,plus/minus,add,537,w_mag_1998.txt,magazine
minus,plus/minus,subtract,63,w_mag_1998.txt,magazine
more,more/less,add,10945,w_mag_1998.txt,magazine
less,more/less,subtract,5138,w_mag_1998.txt,magazine
most,most/least,add,7171,w_mag_1998.txt,magazine
least,most/least,subtract,1466,w_mag_1998.txt,magazine
many,many/few,add,4032,w_mag_1998.txt,magazine
few,many/few,subtract,2727,w_mag_1998.txt,magazine
increase,increase/decrease,add,1001,w_mag_1998.txt,magazine
decrease,increase/decrease,subtract,121,w_mag_1998.txt,magazine
add,add/subtract,add,3816,w_mag_1999.txt,magazine
subtract,add/subtract,subtract,29,w_mag_1999.txt,magazine
addition,addition/subtraction,add,745,w_mag_1999.txt,magazine
subtraction,addition/subtraction,subtract,2,w_mag_1999.txt,magazine
plus,plus/minus,add,475,w_mag_1999.txt,magazine
minus,plus/minus,subtract,61,w_mag_1999.txt,magazine
more,more/less,add,11367,w_mag_1999.txt,magazine
less,more/less,subtract,4956,w_mag_1999.txt,magazine
most,most/least,add,7114,w_mag_1999.txt,magazine
least,most/least,subtract,1416,w_mag_1999.txt,magazine
many,many/few,add,3993,w_mag_1999.txt,magazine
few,many/few,subtract,2838,w_mag_1999.txt,magazine
increase,increase/decrease,add,1006,w_mag_1999.txt,magazine
decrease,increase/decrease,subtract,153,w_mag_1999.txt,magazine
add,add/subtract,add,3798,w_mag_2000.txt,magazine
subtract,add/subtract,subtract,14,w_mag_2000.txt,magazine
addition,addition/subtraction,add,784,w_mag_2000.txt,magazine
subtraction,addition/subtraction,subtract,1,w_mag_2000.txt,magazine
plus,plus/minus,add,532,w_mag_2000.txt,magazine
minus,plus/minus,subtract,62,w_mag_2000.txt,magazine
more,more/less,add,11199,w_mag_2000.txt,magazine
less,more/less,subtract,4918,w_mag_2000.txt,magazine
most,most/least,add,6710,w_mag_2000.txt,magazine
least,most/least,subtract,1451,w_mag_2000.txt,magazine
many,many/few,add,3881,w_mag_2000.txt,magazine
few,many/few,subtract,2688,w_mag_2000.txt,magazine
increase,increase/decrease,add,974,w_mag_2000.txt,magazine
decrease,increase/decrease,subtract,117,w_mag_2000.txt,magazine
add,add/subtract,add,4004,w_mag_2001.txt,magazine
subtract,add/subtract,subtract,25,w_mag_2001.txt,magazine
addition,addition/subtraction,add,767,w_mag_2001.txt,magazine
subtraction,addition/subtraction,subtract,1,w_mag_2001.txt,magazine
plus,plus/minus,add,427,w_mag_2001.txt,magazine
minus,plus/minus,subtract,56,w_mag_2001.txt,magazine
more,more/less,add,11300,w_mag_2001.txt,magazine
less,more/less,subtract,4990,w_mag_2001.txt,magazine
most,most/least,add,6778,w_mag_2001.txt,magazine
least,most/least,subtract,1408,w_mag_2001.txt,magazine
many,many/few,add,3986,w_mag_2001.txt,magazine
few,many/few,subtract,2705,w_mag_2001.txt,magazine
increase,increase/decrease,add,1058,w_mag_2001.txt,magazine
decrease,increase/decrease,subtract,147,w_mag_2001.txt,magazine
add,add/subtract,add,3909,w_mag_2002.txt,magazine
